reg;sexe;jour;n_dose1;n_cum_dose1
02;2;2021-01-14;42;231
02;2;2021-01-15;59;290
02;2;2021-01-16;20;310
02;2;2021-01-18;69;379
02;2;2021-01-19;61;440
02;2;2021-01-20;76;516
02;2;2021-01-21;84;600
02;2;2021-01-22;68;668
02;2;2021-01-23;26;694
02;2;2021-01-25;76;770
02;2;2021-01-26;59;829
02;2;2021-01-27;71;900
03;0;2021-01-13;29;29
03;0;2021-01-14;46;75
03;0;2021-01-15;34;109
03;0;2021-01-16;17;126
03;0;2021-01-18;61;187
03;0;2021-01-19;141;328
03;0;2021-01-20;119;447
03;0;2021-01-21;107;554
03;0;2021-01-22;63;617
03;0;2021-01-25;56;673
03;0;2021-01-26;96;769
03;0;2021-01-27;103;872
03;1;2021-01-13;18;18
03;1;2021-01-14;29;47
03;1;2021-01-15;28;75
03;1;2021-01-16;13;88
03;1;2021-01-18;32;120
03;1;2021-01-19;68;188
03;1;2021-01-20;64;252
03;1;2021-01-21;62;314
03;1;2021-01-22;37;351
03;1;2021-01-25;30;381
03;1;2021-01-26;54;435
03;1;2021-01-27;62;497
03;2;2021-01-13;11;11
03;2;2021-01-14;17;28
03;2;2021-01-15;6;34
03;2;2021-01-16;4;38
03;2;2021-01-18;29;67
03;2;2021-01-19;71;138
03;2;2021-01-20;55;193
03;2;2021-01-21;45;238
03;2;2021-01-22;26;264
03;2;2021-01-25;25;289
03;2;2021-01-26;42;331
03;2;2021-01-27;40;371
04;0;2021-01-05;1;1
04;0;2021-01-15;125;126
04;0;2021-01-16;20;146
04;0;2021-01-18;49;195
04;0;2021-01-19;366;561
04;0;2021-01-20;347;908
04;0;2021-01-21;510;1418
04;0;2021-01-22;370;1788
04;0;2021-01-23;72;1860
04;0;2021-01-25;233;2093
04;0;2021-01-26;339;2432
04;0;2021-01-27;248;2680
04;1;2021-01-15;63;63
04;1;2021-01-16;10;73
04;1;2021-01-18;20;93
04;1;2021-01-19;197;290
04;1;2021-01-20;171;461
04;1;2021-01-21;275;736
04;1;2021-01-22;195;931
04;1;2021-01-23;37;968
04;1;2021-01-25;121;1089
04;1;2021-01-26;167;1256
04;1;2021-01-27;128;1384
04;2;2021-01-05;1;1
04;2;2021-01-15;62;63
04;2;2021-01-16;10;73
04;2;2021-01-18;29;102
04;2;2021-01-19;169;271
04;2;2021-01-20;176;447
04;2;2021-01-21;235;682
04;2;2021-01-22;175;857
04;2;2021-01-23;35;892
04;2;2021-01-25;111;1003
04;2;2021-01-26;172;1175
04;2;2021-01-27;120;1295
06;0;2021-01-25;49;49
06;0;2021-01-26;34;83
06;0;2021-01-27;90;173
06;1;2021-01-25;38;38
06;1;2021-01-26;26;64
06;1;2021-01-27;51;115
06;2;2021-01-25;11;11
06;2;2021-01-26;7;18
06;2;2021-01-27;38;56
07;0;2021-01-18;1;1
07;2;2021-01-18;1;1
11;0;2020-12-27;9;9
11;0;2020-12-29;19;28
11;0;2020-12-30;63;91
11;0;2020-12-31;36;127
11;0;2021-01-01;9;136
11;0;2021-01-02;40;176
11;0;2021-01-03;72;248
11;0;2021-01-04;519;767
11;0;2021-01-05;1656;2423
11;0;2021-01-06;2306;4729
11;0;2021-01-07;3922;8651
11;0;2021-01-08;5065;13716
11;0;2021-01-09;1716;15432
11;0;2021-01-10;1550;16982
11;0;2021-01-11;4900;21882
11;0;2021-01-12;6545;28427
11;0;2021-01-13;6422;34849
11;0;2021-01-14;7101;41950
11;0;2021-01-15;5949;47899
11;0;2021-01-16;1561;49460
11;0;2021-01-17;624;50084
11;0;2021-01-18;9763;59847
11;0;2021-01-19;13282;73129
11;0;2021-01-20;15298;88427
11;0;2021-01-21;18357;106784
11;0;2021-01-22;14357;121141
11;0;2021-01-23;4345;125486
11;0;2021-01-24;962;126448
11;0;2021-01-25;7779;134227
11;0;2021-01-26;10834;145061
11;0;2021-01-27;13362;158423
11;1;2020-12-27;3;3
11;1;2020-12-29;5;8
11;1;2020-12-30;32;40
11;1;2020-12-31;3;43
11;1;2021-01-01;6;49
11;1;2021-01-02;24;73
11;1;2021-01-03;40;113
11;1;2021-01-04;237;350
11;1;2021-01-05;736;1086
11;1;2021-01-06;1088;2174
11;1;2021-01-07;1717;3891
11;1;2021-01-08;2194;6085
11;1;2021-01-09;841;6926
11;1;2021-01-10;764;7690
11;1;2021-01-11;1882;9572
11;1;2021-01-12;2547;12119
11;1;2021-01-13;2519;14638
11;1;2021-01-14;2748;17386
11;1;2021-01-15;2283;19669
11;1;2021-01-16;634;20303
11;1;2021-01-17;237;20540
11;1;2021-01-18;4193;24733
11;1;2021-01-19;5147;29880
11;1;2021-01-20;5869;35749
11;1;2021-01-21;6928;42677
11;1;2021-01-22;5794;48471
11;1;2021-01-23;1897;50368
11;1;2021-01-24;412;50780
11;1;2021-01-25;3482;54262
11;1;2021-01-26;4462;58724
11;1;2021-01-27;5121;63845
11;2;2020-12-27;6;6
11;2;2020-12-29;14;20
11;2;2020-12-30;31;51
11;2;2020-12-31;33;84
11;2;2021-01-01;3;87
11;2;2021-01-02;16;103
11;2;2021-01-03;32;135
11;2;2021-01-04;281;416
11;2;2021-01-05;919;1335
11;2;2021-01-06;1215;2550
11;2;2021-01-07;2203;4753
11;2;2021-01-08;2868;7621
11;2;2021-01-09;875;8496
11;2;2021-01-10;785;9281
11;2;2021-01-11;3012;12293
11;2;2021-01-12;3990;16283
11;2;2021-01-13;3891;20174
11;2;2021-01-14;4340;24514
11;2;2021-01-15;3652;28166
11;2;2021-01-16;925;29091
11;2;2021-01-17;387;29478
11;2;2021-01-18;5559;35037
11;2;2021-01-19;8118;43155
11;2;2021-01-20;9409;52564
11;2;2021-01-21;11412;63976
11;2;2021-01-22;8551;72527
11;2;2021-01-23;2445;74972
11;2;2021-01-24;550;75522
11;2;2021-01-25;4291;79813
11;2;2021-01-26;6366;86179
11;2;2021-01-27;8226;94405
24;0;2020-12-28;7;7
24;0;2020-12-29;7;14
24;0;2021-01-04;4;18
24;0;2021-01-05;163;181
24;0;2021-01-06;308;489
24;0;2021-01-07;459;948
24;0;2021-01-08;912;1860
24;0;2021-01-09;496;2356
24;0;2021-01-10;393;2749
24;0;2021-01-11;1252;4001
24;0;2021-01-12;2529;6530
24;0;2021-01-13;2052;8582
24;0;2021-01-14;2403;10985
24;0;2021-01-15;1985;12970
24;0;2021-01-16;733;13703
24;0;2021-01-17;312;14015
24;0;2021-01-18;3143;17158
24;0;2021-01-19;5937;23095
24;0;2021-01-20;6731;29826
24;0;2021-01-21;7165;36991
24;0;2021-01-22;4865;41856
24;0;2021-01-23;1187;43043
24;0;2021-01-24;223;43266
24;0;2021-01-25;2839;46105
24;0;2021-01-26;4390;50495
24;0;2021-01-27;4592;55087
24;1;2020-12-28;3;3
24;1;2020-12-29;2;5
24;1;2021-01-05;57;62
24;1;2021-01-06;123;185
24;1;2021-01-07;162;347
24;1;2021-01-08;344;691
24;1;2021-01-09;280;971
24;1;2021-01-10;196;1167
24;1;2021-01-11;432;1599
24;1;2021-01-12;871;2470
24;1;2021-01-13;690;3160
24;1;2021-01-14;854;4014
24;1;2021-01-15;657;4671
24;1;2021-01-16;306;4977
24;1;2021-01-17;107;5084
24;1;2021-01-18;1215;6299
24;1;2021-01-19;2038;8337
24;1;2021-01-20;2370;10707
24;1;2021-01-21;2375;13082
24;1;2021-01-22;1861;14943
24;1;2021-01-23;556;15499
24;1;2021-01-24;106;15605
24;1;2021-01-25;1234;16839
24;1;2021-01-26;1691;18530
24;1;2021-01-27;1780;20310
24;2;2020-12-28;4;4
24;2;2020-12-29;5;9
24;2;2021-01-04;4;13
24;2;2021-01-05;106;119
24;2;2021-01-06;185;304
24;2;2021-01-07;297;601
24;2;2021-01-08;568;1169
24;2;2021-01-09;215;1384
24;2;2021-01-10;197;1581
24;2;2021-01-11;819;2400
24;2;2021-01-12;1657;4057
24;2;2021-01-13;1362;5419
24;2;2021-01-14;1549;6968
24;2;2021-01-15;1328;8296
24;2;2021-01-16;427;8723
24;2;2021-01-17;204;8927
24;2;2021-01-18;1927;10854
24;2;2021-01-19;3898;14752
24;2;2021-01-20;4361;19113
24;2;2021-01-21;4788;23901
24;2;2021-01-22;3004;26905
24;2;2021-01-23;631;27536
24;2;2021-01-24;117;27653
24;2;2021-01-25;1604;29257
24;2;2021-01-26;2697;31954
24;2;2021-01-27;2810;34764
27;0;2020-12-27;4;4
27;0;2020-12-29;19;23
27;0;2020-12-30;20;43
27;0;2021-01-04;17;60
27;0;2021-01-05;258;318
27;0;2021-01-06;643;961
27;0;2021-01-07;1455;2416
27;0;2021-01-08;1688;4104
27;0;2021-01-09;675;4779
27;0;2021-01-10;2;4781
27;0;2021-01-11;2245;7026
27;0;2021-01-12;3438;10464
27;0;2021-01-13;3327;13791
27;0;2021-01-14;4155;17946
27;0;2021-01-15;3080;21026
27;0;2021-01-16;769;21795
27;0;2021-01-17;116;21911
27;0;2021-01-18;5454;27365
27;0;2021-01-19;7563;34928
27;0;2021-01-20;7289;42217
27;0;2021-01-21;8531;50748
27;0;2021-01-22;7088;57836
27;0;2021-01-23;2888;60724
27;0;2021-01-24;328;61052
27;0;2021-01-25;4699;65751
27;0;2021-01-26;6743;72494
27;0;2021-01-27;6399;78893
27;1;2020-12-27;4;4
27;1;2020-12-29;9;13
27;1;2020-12-30;2;15
27;1;2021-01-04;8;23
27;1;2021-01-05;114;137
27;1;2021-01-06;234;371
27;1;2021-01-07;540;911
27;1;2021-01-08;632;1543
27;1;2021-01-09;221;1764
27;1;2021-01-11;780;2544
27;1;2021-01-12;1104;3648
27;1;2021-01-13;1098;4746
27;1;2021-01-14;1405;6151
27;1;2021-01-15;1043;7194
27;1;2021-01-16;343;7537
27;1;2021-01-17;49;7586
27;1;2021-01-18;2352;9938
27;1;2021-01-19;3070;13008
27;1;2021-01-20;2971;15979
27;1;2021-01-21;3270;19249
27;1;2021-01-22;2903;22152
27;1;2021-01-23;1309;23461
27;1;2021-01-24;125;23586
27;1;2021-01-25;2024;25610
27;1;2021-01-26;2728;28338
27;1;2021-01-27;2645;30983
27;2;2020-12-29;10;10
27;2;2020-12-30;18;28
27;2;2021-01-04;9;37
27;2;2021-01-05;144;181
27;2;2021-01-06;409;590
27;2;2021-01-07;915;1505
27;2;2021-01-08;1056;2561
27;2;2021-01-09;454;3015
27;2;2021-01-10;2;3017
27;2;2021-01-11;1465;4482
27;2;2021-01-12;2334;6816
27;2;2021-01-13;2229;9045
27;2;2021-01-14;2749;11794
27;2;2021-01-15;2036;13830
27;2;2021-01-16;426;14256
27;2;2021-01-17;67;14323
27;2;2021-01-18;3101;17424
27;2;2021-01-19;4491;21915
27;2;2021-01-20;4318;26233
27;2;2021-01-21;5258;31491
27;2;2021-01-22;4185;35676
27;2;2021-01-23;1579;37255
27;2;2021-01-24;203;37458
27;2;2021-01-25;2675;40133
27;2;2021-01-26;4014;44147
27;2;2021-01-27;3753;47900
28;0;2020-12-31;1;1
28;0;2021-01-04;16;17
28;0;2021-01-05;166;183
28;0;2021-01-06;1330;1513
28;0;2021-01-07;2463;3976
28;0;2021-01-08;3201;7177
28;0;2021-01-09;1312;8489
28;0;2021-01-10;695;9184
28;0;2021-01-11;2938;12122
28;0;2021-01-12;3717;15839
28;0;2021-01-13;4022;19861
28;0;2021-01-14;7240;27101
28;0;2021-01-15;5793;32894
28;0;2021-01-16;2033;34927
28;0;2021-01-17;3845;38772
28;0;2021-01-18;8151;46923
28;0;2021-01-19;6684;53607
28;0;2021-01-20;5981;59588
28;0;2021-01-21;5694;65282
28;0;2021-01-22;5215;70497
28;0;2021-01-23;1971;72468
28;0;2021-01-24;1421;73889
28;0;2021-01-25;5784;79673
28;0;2021-01-26;4227;83900
28;0;2021-01-27;3732;87632
28;1;2020-12-31;1;1
28;1;2021-01-04;11;12
28;1;2021-01-05;65;77
28;1;2021-01-06;578;655
28;1;2021-01-07;935;1590
28;1;2021-01-08;1146;2736
28;1;2021-01-09;547;3283
28;1;2021-01-10;283;3566
28;1;2021-01-11;1004;4570
28;1;2021-01-12;1209;5779
28;1;2021-01-13;1255;7034
28;1;2021-01-14;2122;9156
28;1;2021-01-15;1711;10867
28;1;2021-01-16;757;11624
28;1;2021-01-17;1093;12717
28;1;2021-01-18;2821;15538
28;1;2021-01-19;2607;18145
28;1;2021-01-20;2473;20618
28;1;2021-01-21;2310;22928
28;1;2021-01-22;2230;25158
28;1;2021-01-23;808;25966
28;1;2021-01-24;479;26445
28;1;2021-01-25;2205;28650
28;1;2021-01-26;1818;30468
28;1;2021-01-27;1631;32099
28;2;2021-01-04;5;5
28;2;2021-01-05;101;106
28;2;2021-01-06;752;858
28;2;2021-01-07;1528;2386
28;2;2021-01-08;2054;4440
28;2;2021-01-09;765;5205
28;2;2021-01-10;411;5616
28;2;2021-01-11;1934;7550
28;2;2021-01-12;2507;10057
28;2;2021-01-13;2767;12824
28;2;2021-01-14;5118;17942
28;2;2021-01-15;4081;22023
28;2;2021-01-16;1276;23299
28;2;2021-01-17;2752;26051
28;2;2021-01-18;5329;31380
28;2;2021-01-19;4075;35455
28;2;2021-01-20;3508;38963
28;2;2021-01-21;3383;42346
28;2;2021-01-22;2984;45330
28;2;2021-01-23;1163;46493
28;2;2021-01-24;942;47435
28;2;2021-01-25;3578;51013
28;2;2021-01-26;2406;53419
28;2;2021-01-27;2101;55520
32;0;2020-12-28;25;25
32;0;2020-12-29;12;37
32;0;2021-01-04;79;116
32;0;2021-01-05;292;408
32;0;2021-01-06;769;1177
32;0;2021-01-07;2280;3457
32;0;2021-01-08;2881;6338
32;0;2021-01-09;932;7270
32;0;2021-01-10;631;7901
32;0;2021-01-11;2951;10852
32;0;2021-01-12;4426;15278
32;0;2021-01-13;4413;19691
32;0;2021-01-14;4993;24684
32;0;2021-01-15;4612;29296
32;0;2021-01-16;1550;30846
32;0;2021-01-17;853;31699
32;0;2021-01-18;6438;38137
32;0;2021-01-19;9233;47370
32;0;2021-01-20;9471;56841
32;0;2021-01-21;11702;68543
32;0;2021-01-22;9155;77698
32;0;2021-01-23;3076;80774
32;0;2021-01-24;951;81725
32;0;2021-01-25;6322;88047
32;0;2021-01-26;6727;94774
32;0;2021-01-27;4379;99153
32;1;2020-12-28;5;5
32;1;2020-12-29;3;8
32;1;2021-01-04;33;41
32;1;2021-01-05;116;157
32;1;2021-01-06;329;486
32;1;2021-01-07;913;1399
32;1;2021-01-08;1182;2581
32;1;2021-01-09;474;3055
32;1;2021-01-10;313;3368
32;1;2021-01-11;1145;4513
32;1;2021-01-12;1639;6152
32;1;2021-01-13;1711;7863
32;1;2021-01-14;1886;9749
32;1;2021-01-15;1659;11408
32;1;2021-01-16;695;12103
32;1;2021-01-17;369;12472
32;1;2021-01-18;2710;15182
32;1;2021-01-19;3822;19004
32;1;2021-01-20;3873;22877
32;1;2021-01-21;4735;27612
32;1;2021-01-22;3851;31463
32;1;2021-01-23;1236;32699
32;1;2021-01-24;308;33007
32;1;2021-01-25;2623;35630
32;1;2021-01-26;2824;38454
32;1;2021-01-27;1742;40196
32;2;2020-12-28;20;20
32;2;2020-12-29;9;29
32;2;2021-01-04;46;75
32;2;2021-01-05;176;251
32;2;2021-01-06;440;691
32;2;2021-01-07;1367;2058
32;2;2021-01-08;1699;3757
32;2;2021-01-09;458;4215
32;2;2021-01-10;318;4533
32;2;2021-01-11;1805;6338
32;2;2021-01-12;2786;9124
32;2;2021-01-13;2700;11824
32;2;2021-01-14;3106;14930
32;2;2021-01-15;2952;17882
32;2;2021-01-16;852;18734
32;2;2021-01-17;484;19218
32;2;2021-01-18;3724;22942
32;2;2021-01-19;5410;28352
32;2;2021-01-20;5597;33949
32;2;2021-01-21;6964;40913
32;2;2021-01-22;5303;46216
32;2;2021-01-23;1839;48055
32;2;2021-01-24;643;48698
32;2;2021-01-25;3697;52395
32;2;2021-01-26;3901;56296
32;2;2021-01-27;2637;58933
44;0;2020-12-31;10;10
44;0;2021-01-04;203;213
44;0;2021-01-05;750;963
44;0;2021-01-06;1219;2182
44;0;2021-01-07;2282;4464
44;0;2021-01-08;2824;7288
44;0;2021-01-09;839;8127
44;0;2021-01-10;203;8330
44;0;2021-01-11;2741;11071
44;0;2021-01-12;4755;15826
44;0;2021-01-13;6958;22784
44;0;2021-01-14;8040;30824
44;0;2021-01-15;5841;36665
44;0;2021-01-16;1564;38229
44;0;2021-01-17;869;39098
44;0;2021-01-18;8204;47302
44;0;2021-01-19;9875;57177
44;0;2021-01-20;10200;67377
44;0;2021-01-21;10630;78007
44;0;2021-01-22;8912;86919
44;0;2021-01-23;3038;89957
44;0;2021-01-24;1553;91510
44;0;2021-01-25;6045;97555
44;0;2021-01-26;5290;102845
44;0;2021-01-27;6551;109396
44;1;2020-12-31;6;6
44;1;2021-01-04;69;75
44;1;2021-01-05;286;361
44;1;2021-01-06;438;799
44;1;2021-01-07;848;1647
44;1;2021-01-08;1024;2671
44;1;2021-01-09;399;3070
44;1;2021-01-10;116;3186
44;1;2021-01-11;989;4175
44;1;2021-01-12;1570;5745
44;1;2021-01-13;2347;8092
44;1;2021-01-14;2537;10629
44;1;2021-01-15;1977;12606
44;1;2021-01-16;644;13250
44;1;2021-01-17;297;13547
44;1;2021-01-18;3176;16723
44;1;2021-01-19;3931;20654
44;1;2021-01-20;4093;24747
44;1;2021-01-21;4163;28910
44;1;2021-01-22;3668;32578
44;1;2021-01-23;1319;33897
44;1;2021-01-24;565;34462
44;1;2021-01-25;2423;36885
44;1;2021-01-26;2212;39097
44;1;2021-01-27;2574;41671
44;2;2020-12-31;4;4
44;2;2021-01-04;134;138
44;2;2021-01-05;464;602
44;2;2021-01-06;781;1383
44;2;2021-01-07;1433;2816
44;2;2021-01-08;1800;4616
44;2;2021-01-09;439;5055
44;2;2021-01-10;87;5142
44;2;2021-01-11;1752;6894
44;2;2021-01-12;3182;10076
44;2;2021-01-13;4611;14687
44;2;2021-01-14;5502;20189
44;2;2021-01-15;3864;24053
44;2;2021-01-16;920;24973
44;2;2021-01-17;572;25545
44;2;2021-01-18;5028;30573
44;2;2021-01-19;5942;36515
44;2;2021-01-20;6106;42621
44;2;2021-01-21;6460;49081
44;2;2021-01-22;5237;54318
44;2;2021-01-23;1717;56035
44;2;2021-01-24;988;57023
44;2;2021-01-25;3619;60642
44;2;2021-01-26;3074;63716
44;2;2021-01-27;3969;67685
52;0;2021-01-03;1;1
52;0;2021-01-04;34;35
52;0;2021-01-05;162;197
52;0;2021-01-06;295;492
52;0;2021-01-07;740;1232
52;0;2021-01-08;1399;2631
52;0;2021-01-09;1042;3673
52;0;2021-01-10;638;4311
52;0;2021-01-11;2055;6366
52;0;2021-01-12;2909;9275
52;0;2021-01-13;2728;12003
52;0;2021-01-14;3019;15022
52;0;2021-01-15;2749;17771
52;0;2021-01-16;813;18584
52;0;2021-01-17;485;19069
52;0;2021-01-18;3104;22173
52;0;2021-01-19;5878;28051
52;0;2021-01-20;7510;35561
52;0;2021-01-21;11063;46624
52;0;2021-01-22;6805;53429
52;0;2021-01-23;1660;55089
52;0;2021-01-24;174;55263
52;0;2021-01-25;2887;58150
52;0;2021-01-26;6355;64505
52;0;2021-01-27;6354;70859
52;1;2021-01-03;1;1
52;1;2021-01-04;22;23
52;1;2021-01-05;75;98
52;1;2021-01-06;124;222
52;1;2021-01-07;273;495
52;1;2021-01-08;532;1027
52;1;2021-01-09;516;1543
52;1;2021-01-10;268;1811
52;1;2021-01-11;730;2541
52;1;2021-01-12;1051;3592
52;1;2021-01-13;900;4492
52;1;2021-01-14;1003;5495
52;1;2021-01-15;856;6351
52;1;2021-01-16;315;6666
52;1;2021-01-17;186;6852
52;1;2021-01-18;1193;8045
52;1;2021-01-19;2062;10107
52;1;2021-01-20;2472;12579
52;1;2021-01-21;3467;16046
52;1;2021-01-22;2438;18484
52;1;2021-01-23;754;19238
52;1;2021-01-24;84;19322
52;1;2021-01-25;1305;20627
52;1;2021-01-26;2240;22867
52;1;2021-01-27;2122;24989
52;2;2021-01-04;12;12
52;2;2021-01-05;87;99
52;2;2021-01-06;171;270
52;2;2021-01-07;467;737
52;2;2021-01-08;867;1604
52;2;2021-01-09;526;2130
52;2;2021-01-10;370;2500
52;2;2021-01-11;1325;3825
52;2;2021-01-12;1858;5683
52;2;2021-01-13;1828;7511
52;2;2021-01-14;2016;9527
52;2;2021-01-15;1893;11420
52;2;2021-01-16;498;11918
52;2;2021-01-17;299;12217
52;2;2021-01-18;1911;14128
52;2;2021-01-19;3815;17943
52;2;2021-01-20;5038;22981
52;2;2021-01-21;7596;30577
52;2;2021-01-22;4366;34943
52;2;2021-01-23;906;35849
52;2;2021-01-24;90;35939
52;2;2021-01-25;1582;37521
52;2;2021-01-26;4115;41636
52;2;2021-01-27;4231;45867
53;0;2021-01-02;1;1
53;0;2021-01-04;40;41
53;0;2021-01-05;198;239
53;0;2021-01-06;326;565
53;0;2021-01-07;817;1382
53;0;2021-01-08;1197;2579
53;0;2021-01-09;33;2612
53;0;2021-01-11;1596;4208
53;0;2021-01-12;3032;7240
53;0;2021-01-13;3084;10324
53;0;2021-01-14;3429;13753
53;0;2021-01-15;3048;16801
53;0;2021-01-16;679;17480
53;0;2021-01-17;180;17660
53;0;2021-01-18;3142;20802
53;0;2021-01-19;7632;28434
53;0;2021-01-20;6566;35000
53;0;2021-01-21;10087;45087
53;0;2021-01-22;7290;52377
53;0;2021-01-23;1454;53831
53;0;2021-01-24;252;54083
53;0;2021-01-25;3018;57101
53;0;2021-01-26;3945;61046
53;0;2021-01-27;6386;67432
53;1;2021-01-04;10;10
53;1;2021-01-05;86;96
53;1;2021-01-06;126;222
53;1;2021-01-07;332;554
53;1;2021-01-08;463;1017
53;1;2021-01-09;16;1033
53;1;2021-01-11;523;1556
53;1;2021-01-12;977;2533
53;1;2021-01-13;1003;3536
53;1;2021-01-14;1124;4660
53;1;2021-01-15;1058;5718
53;1;2021-01-16;284;6002
53;1;2021-01-17;83;6085
53;1;2021-01-18;1247;7332
53;1;2021-01-19;2496;9828
53;1;2021-01-20;2241;12069
53;1;2021-01-21;3161;15230
53;1;2021-01-22;2488;17718
53;1;2021-01-23;606;18324
53;1;2021-01-24;99;18423
53;1;2021-01-25;1309;19732
53;1;2021-01-26;1652;21384
53;1;2021-01-27;2291;23675
53;2;2021-01-02;1;1
53;2;2021-01-04;30;31
53;2;2021-01-05;112;143
53;2;2021-01-06;200;343
53;2;2021-01-07;485;828
53;2;2021-01-08;734;1562
53;2;2021-01-09;17;1579
53;2;2021-01-11;1073;2652
53;2;2021-01-12;2055;4707
53;2;2021-01-13;2080;6787
53;2;2021-01-14;2305;9092
53;2;2021-01-15;1989;11081
53;2;2021-01-16;395;11476
53;2;2021-01-17;97;11573
53;2;2021-01-18;1894;13467
53;2;2021-01-19;5136;18603
53;2;2021-01-20;4323;22926
53;2;2021-01-21;6926;29852
53;2;2021-01-22;4802;34654
53;2;2021-01-23;847;35501
53;2;2021-01-24;153;35654
53;2;2021-01-25;1709;37363
53;2;2021-01-26;2290;39653
53;2;2021-01-27;4095;43748
75;0;2020-12-29;2;2
75;0;2021-01-04;85;87
75;0;2021-01-05;90;177
75;0;2021-01-06;703;880
75;0;2021-01-07;4635;5515
75;0;2021-01-08;5028;10543
75;0;2021-01-09;826;11369
75;0;2021-01-10;473;11842
75;0;2021-01-11;3235;15077
75;0;2021-01-12;5591;20668
75;0;2021-01-13;6123;26791
75;0;2021-01-14;7529;34320
75;0;2021-01-15;6804;41124
75;0;2021-01-16;1473;42597
75;0;2021-01-17;405;43002
75;0;2021-01-18;6384;49386
75;0;2021-01-19;13201;62587
75;0;2021-01-20;14289;76876
75;0;2021-01-21;15821;92697
75;0;2021-01-22;12295;104992
75;0;2021-01-23;4302;109294
75;0;2021-01-24;672;109966
75;0;2021-01-25;8540;118506
75;0;2021-01-26;10658;129164
75;0;2021-01-27;11107;140271
75;1;2020-12-29;1;1
75;1;2021-01-04;46;47
75;1;2021-01-05;43;90
75;1;2021-01-06;279;369
75;1;2021-01-07;1800;2169
75;1;2021-01-08;1820;3989
75;1;2021-01-09;317;4306
75;1;2021-01-10;183;4489
75;1;2021-01-11;1228;5717
75;1;2021-01-12;1908;7625
75;1;2021-01-13;2172;9797
75;1;2021-01-14;2556;12353
75;1;2021-01-15;2405;14758
75;1;2021-01-16;675;15433
75;1;2021-01-17;166;15599
75;1;2021-01-18;2525;18124
75;1;2021-01-19;5056;23180
75;1;2021-01-20;5606;28786
75;1;2021-01-21;5981;34767
75;1;2021-01-22;5137;39904
75;1;2021-01-23;1940;41844
75;1;2021-01-24;311;42155
75;1;2021-01-25;3916;46071
75;1;2021-01-26;4435;50506
75;1;2021-01-27;4639;55145
75;2;2020-12-29;1;1
75;2;2021-01-04;39;40
75;2;2021-01-05;47;87
75;2;2021-01-06;424;511
75;2;2021-01-07;2835;3346
75;2;2021-01-08;3206;6552
75;2;2021-01-09;509;7061
75;2;2021-01-10;289;7350
75;2;2021-01-11;2007;9357
75;2;2021-01-12;3683;13040
75;2;2021-01-13;3950;16990
75;2;2021-01-14;4972;21962
75;2;2021-01-15;4399;26361
75;2;2021-01-16;798;27159
75;2;2021-01-17;239;27398
75;2;2021-01-18;3859;31257
75;2;2021-01-19;8144;39401
75;2;2021-01-20;8682;48083
